2026-03-17 11:19:39.7812 | Handlers.Handlers.DeleteAgentDetails | Handlers.ProcessRequest => Handlers.AgentRegistration => Handlers.DeleteAgentDetails | Error Occured in Object reference not set to an instance of an object.
2026-03-17 12:15:54.2373 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
2026-03-17 12:15:55.8083 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
2026-03-17 12:15:56.9990 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
2026-03-17 12:15:57.7040 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
2026-03-17 12:15:58.9960 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
2026-03-17 12:17:51.4446 | Handlers.Handlers.GetMaterialCodeNameByCategoryAuto | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategoryAuto | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 12:17:52.7990 | Handlers.Handlers.GetMaterialCodeNameByCategoryAuto | Handlers.ProcessRequest => Handlers.MaterialManagement => Handlers.GetMaterialCodeNameByCategoryAuto | Error Occured in Error during serialization or deserialization using the JSON JavaScriptSerializer. The length of the string exceeds the value set on the maxJsonLength property.
2026-03-17 12:18:24.1838 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
2026-03-17 12:18:24.8327 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
2026-03-17 12:18:27.5580 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
2026-03-17 12:18:29.7447 | Handlers.Handlers.GetIssuingToList | Handlers.ProcessRequest => Handlers.ExternalMaterialIssue => Handlers.GetIssuingToList | Error Occured in Cannot find table 0.
